time,vx,vy,vz,vroll,vpitch,vyaw
1726869629333476353,-0.00038162712007761,0.0001323442702414468,-0.00013999547809362411,-0.00016706362657714635,-0.0006529716192744672,-0.0002632313407957554
1726869629344175473,-0.00026140446425415576,0.00011646412895061076,-0.00014055162318982184,-0.00015582813648507,-0.0001328836369793862,0.00015379724209196866
1726869629353326159,-0.00020462948305066675,5.239021993475035e-05,-0.00019196873472537845,0.00014623203605879098,6.469991785706952e-05,-0.00022895084111951292
1726869629363526532,-0.00015285862900782377,0.0001484063541283831,-0.00021411976194940507,-0.0005627368809655309,0.0004186045262031257,-0.00016113002493511885
1726869629373376234,-0.00021691947767976671,-4.3497831939021125e-05,-0.00016039583715610206,0.00034879043232649565,2.109804881911259e-05,-0.00014278768503572792
1726869629385241232,-0.0003729657910298556,-0.00012468390923459083,-0.00014816496695857495,0.0006994341383688152,-0.0006917258142493665,0.00033284505479969084
1726869629394222610,-0.0003249395522288978,-0.0001232042704941705,-0.00013596568896900862,0.0006666806875728071,-0.00031073379795998335,-0.0007881448254920542
1726869629403422671,-0.0004328817594796419,-9.188441617880017e-05,-8.380090730497614e-05,0.000264569855062291,-0.0009772571502253413,-0.00043588850530795753
1726869629413593035,-0.0004679153498727828,-3.2810810807859525e-05,-3.6594086850527674e-05,-4.525945405475795e-05,-0.0008916785009205341,-0.0010004218202084303
1726869629423160681,-0.0004517249471973628,-0.00011760286724893376,-0.0001012810826068744,0.0004988720756955445,-0.0006935065030120313,-0.0009768910240381956
1726869629433121059,-0.0003909677325282246,-6.207014666870236e-05,-0.00015446831821464002,3.882839155266993e-05,-0.00041532714385539293,-0.0008318937616422772
1726869629443559852,-0.0003252409806009382,-9.207380935549736e-05,-0.00013555007171817124,0.00010802773613249883,-0.0002759224735200405,-0.0006391126080416143
1726869629453468583,-0.00017550159827806056,5.025383870815858e-05,-0.00021284399554133415,-0.0006041197339072824,0.0003869973006658256,-0.00039475649828091264
